,origin,index,city_name,street_name,block,lot,community_board
0,8fei-z6rz,1,BRONX,WALTON AVE,,,
1,8fei-z6rz,2,BROOKLYN,GATEWAY DR,,,
2,bty7-2jhb,1,NEW YORK,6 AVE,1264,5,105
3,bty7-2jhb,2,LONG ISLAND CITY,OCEAN TER,683,1,502
4,bty7-2jhb,3,BROOKLYN,3 AVE,6133,56,310
5,bty7-2jhb,4,BROOKLYN,LOTT ST,5136,58,317
6,bty7-2jhb,5,BROOKLYN,AVENUE N,7665,4,314
7,bty7-2jhb,6,BROOKLYN,FRANKLIN AVE,1927,6,303
8,bty7-2jhb,7,BROOKLYN,BAY 10 ST,6460,310,311
9,bty7-2jhb,8,LONG ISLAND CITY,WEST 17 ST,741,10,104
10,bty7-2jhb,9,BROOKLYN,EAST 26 ST,6832,64,315
11,bty7-2jhb,10,BROOKLYN,60 ST,5519,34,312
12,bty7-2jhb,11,BROOKLYN,BAY 34 ST,6861,67,311
13,bty7-2jhb,12,ROCKAWAY POINT,BEACH 215 ST,16350,400,414
14,bty7-2jhb,13,LONG ISLAND CITY,RALPH AVE,1518,1,303
15,bty7-2jhb,14,MANHATTAN,RIVINGTON ST,411,7501,103
16,bty7-2jhb,15,BROOKLYN,SHARON ST,2913,26,301
17,bty7-2jhb,16,JAMAICA,BROADWAY,531,3,102
18,bty7-2jhb,17,NEW YORK,23 ST,646,64,307
19,bty7-2jhb,18,JAMAICA,BROADWAY,531,3,102
20,bty7-2jhb,19,BROOKLYN,FRONT ST,45,25,302
21,bty7-2jhb,20,BROOKLYN,SNYDER AVE,5108,54,317
22,bty7-2jhb,21,NEW YORK,EAST 28 ST,857,24,105
23,bty7-2jhb,22,STATEN ISLAND,MAIN ST,8028,75,503
24,bty7-2jhb,23,NEW YORK,EAST 28 ST,857,24,105
25,bty7-2jhb,24,MANHATTAN,WEST 75 ST,1147,8,107
26,bty7-2jhb,25,NEW HYDE PARK,HYLAN BLVD,3969,1,502
27,bty7-2jhb,26,BROOKLYN,OCEAN PKWY,7239,1,313
28,bty7-2jhb,27,NEW YORK,EAST 28 ST,857,24,105
29,bty7-2jhb,28,LONG ISLAND CITY,RESERVOIR AVE,3247,70,207
